,datetime,description,icon
0,2023-12-04,Partly cloudy throughout the day with late afternoon rain.,rain
1,2023-12-05,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-12-06,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-12-07,Partly cloudy throughout the day with late afternoon rain.,rain
4,2023-12-08,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-12-09,Cloudy skies throughout the day with late afternoon rain.,rain
6,2023-12-10,Partly cloudy throughout the day with late afternoon rain.,rain
7,2023-12-11,Partly cloudy throughout the day with morning rain.,rain
