,datetime,description,icon
0,2023-12-18,Partly cloudy throughout the day with afternoon rain.,rain
1,2023-12-19,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-12-20,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-12-21,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-12-22,Clear conditions throughout the day with storms possible.,clear-day
5,2023-12-23,Partly cloudy throughout the day with storms possible.,rain
6,2023-12-24,Partly cloudy throughout the day with storms possible.,rain
7,2023-12-25,Becoming cloudy in the afternoon with storms possible.,rain
