,datetime,tempmin,temp,tempmax
0,2023-12-18,20.9,24.7,31.0
1,2023-12-19,19.0,22.9,29.0
2,2023-12-20,18.0,21.7,27.9
3,2023-12-21,18.3,22.8,31.1
4,2023-12-22,18.9,25.0,34.0
5,2023-12-23,20.5,25.1,35.3
6,2023-12-24,20.8,24.4,31.0
7,2023-12-25,21.5,26.8,34.4
