,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"-23.627,-46.655",2023-12-18,31.0,20.9,24.7,30.0,20.9,24.5,15.9,61.2,0.1,100.0,4.17,rain,0,0,37.1,27.6,148.1,1013.6,47.5,10.0,247.6,21.6,8,30,2023-12-18T05:15:33,2023-12-18T18:50:53,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,SBST,F7461,SBSP,SBGR"
1,"-23.627,-46.655",2023-12-19,29.0,19.0,22.9,30.2,19.0,23.0,17.1,71.1,0.0,0.0,0.0,,0,0,31.3,27.7,138.0,1012.9,59.3,10.0,236.6,20.4,8,10,2023-12-19T05:15:59,2023-12-19T18:51:25,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBST,F7461,SBSP,SBGR"
2,"-23.627,-46.655",2023-12-20,27.9,18.0,21.7,27.6,18.0,21.7,15.2,68.8,0.1,0.0,4.17,rain,0,0,38.9,23.4,134.6,1012.8,44.0,16.9,350.1,30.2,10,10,2023-12-20T05:16:26,2023-12-20T18:51:57,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBST,F7461,SBSP,SBGR"
3,"-23.627,-46.655",2023-12-21,31.1,18.3,22.8,30.1,18.3,22.8,15.8,67.7,0.2,3.2,8.33,rain,0,0,25.9,22.7,135.8,1012.3,31.5,20.6,364.1,31.5,10,10,2023-12-21T05:16:54,2023-12-21T18:52:27,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"-23.627,-46.655",2023-12-22,34.0,18.9,25.0,33.4,18.9,25.0,16.3,61.6,0.0,35.5,0.0,,0,0,22.0,21.2,136.0,1011.5,15.4,24.1,356.8,30.8,10,60,2023-12-22T05:17:24,2023-12-22T18:52:57,0.34,Clear,Clear conditions throughout the day with storms possible.,clear-day,
5,"-23.627,-46.655",2023-12-23,35.3,20.5,25.1,34.9,20.5,25.2,17.1,64.9,11.2,74.2,25.0,rain,0,0,30.6,20.5,169.3,1011.7,66.7,22.8,291.1,25.2,10,60,2023-12-23T05:17:54,2023-12-23T18:53:25,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
6,"-23.627,-46.655",2023-12-24,31.0,20.8,24.4,30.9,20.8,24.5,17.9,69.3,2.1,93.5,29.17,rain,0,0,20.2,12.2,56.3,1011.2,68.0,23.3,249.7,21.6,10,30,2023-12-24T05:18:26,2023-12-24T18:53:53,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
7,"-23.627,-46.655",2023-12-25,34.4,21.5,26.8,34.3,21.5,27.1,18.3,62.5,1.5,83.9,16.67,rain,0,0,13.3,13.3,143.6,1010.2,38.2,24.1,285.8,24.9,10,60,2023-12-25T05:18:58,2023-12-25T18:54:19,0.45,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
