,datetime,tempmin,temp,tempmax
0,2023-12-11,17.9,20.5,26.0
1,2023-12-12,18.0,19.7,23.0
2,2023-12-13,16.0,21.1,27.3
3,2023-12-14,19.0,24.2,31.0
4,2023-12-15,21.9,25.8,32.0
5,2023-12-16,20.9,24.7,31.0
6,2023-12-17,21.0,25.4,31.9
7,2023-12-18,20.9,24.7,31.0
