,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"-23.627,-46.655",2023-12-11,26.0,17.9,20.5,26.0,17.9,20.5,17.5,83.1,31.0,100,4.17,rain,0,0,26.3,25.9,168.0,1016.0,83.4,10.1,117.6,10.2,8,10,2023-12-11T05:13:03,2023-12-11T18:46:45,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,F7461,SBSP,SBGR,83780099999"
1,"-23.627,-46.655",2023-12-12,23.0,18.0,19.7,23.0,18.0,19.7,15.6,77.4,0.0,0,0.0,,0,0,16.2,20.5,149.1,1020.2,87.4,11.3,99.8,8.7,6,10,2023-12-12T05:13:21,2023-12-12T18:47:23,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,83781099999,F7461,SBSP,SBGR,83780099999"
2,"-23.627,-46.655",2023-12-13,27.3,16.0,21.1,28.3,16.0,21.2,16.6,76.4,0.0,0,0.0,,0,0,18.4,24.1,137.9,1017.8,71.9,10.5,164.9,14.3,8,10,2023-12-13T05:13:40,2023-12-13T18:48:00,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,F7461,SBSP,SBGR,83780099999"
3,"-23.627,-46.655",2023-12-14,31.0,19.0,24.2,30.9,19.0,24.6,18.3,71.6,0.0,0,0.0,,0,0,13.7,22.3,123.2,1016.4,43.8,10.1,249.9,21.5,8,10,2023-12-14T05:14:00,2023-12-14T18:48:36,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,83781099999,F7461,SBSP,SBGR,83780099999"
4,"-23.627,-46.655",2023-12-15,32.0,21.9,25.8,32.5,21.9,26.3,18.8,66.9,0.0,0,0.0,,0,0,17.3,27.6,152.3,1016.7,49.3,10.0,226.8,19.4,10,10,2023-12-15T05:14:21,2023-12-15T18:49:11,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBST,F7461,SBSP,SBGR"
5,"-23.627,-46.655",2023-12-16,31.0,20.9,24.7,33.2,20.9,25.1,19.8,76.2,1.8,100,25.0,rain,0,0,33.5,24.0,162.9,1017.3,59.1,8.5,232.5,20.0,9,60,2023-12-16T05:14:44,2023-12-16T18:49:46,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,SBST,F7461,SBSP,SBGR"
6,"-23.627,-46.655",2023-12-17,31.9,21.0,25.4,32.5,21.0,25.8,18.6,68.4,0.6,100,16.67,rain,0,0,22.3,20.5,108.2,1015.9,54.9,9.6,201.1,17.4,8,60,2023-12-17T05:15:08,2023-12-17T18:50:20,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,SBST,F7461,SBSP,SBGR"
7,"-23.627,-46.655",2023-12-18,31.0,20.9,24.7,30.0,20.9,24.5,15.9,61.2,0.1,100,4.17,rain,0,0,37.1,27.6,148.1,1013.6,47.5,10.0,247.6,21.6,8,30,2023-12-18T05:15:33,2023-12-18T18:50:53,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,SBST,F7461,SBSP,SBGR"
