,datetime,tempmin,temp,tempmax
0,2023-12-17,21.0,25.1,31.9
1,2023-12-18,19.9,24.1,32.4
2,2023-12-19,18.5,22.9,30.8
3,2023-12-20,18.0,22.6,30.2
4,2023-12-21,19.0,23.4,32.9
5,2023-12-22,20.5,24.2,31.6
6,2023-12-23,19.8,24.0,31.1
7,2023-12-24,21.1,24.7,32.4
