,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"-23.627,-46.655",2023-12-17,31.9,21.0,25.1,32.5,21.0,25.5,18.9,70.6,0.7,100.0,12.5,rain,0,0,22.7,20.5,115.7,1015.2,58.1,12.5,191.8,16.7,7,60,2023-12-17T05:15:08,2023-12-17T18:50:20,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"SBMT,SBST,F7461,SBSP,SBGR"
1,"-23.627,-46.655",2023-12-18,32.4,19.9,24.1,31.7,19.9,24.1,17.1,67.9,1.5,83.9,16.67,rain,0,0,25.6,20.2,141.1,1009.3,32.3,22.3,323.6,27.9,10,60,2023-12-18T05:15:33,2023-12-18T18:50:53,0.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
2,"-23.627,-46.655",2023-12-19,30.8,18.5,22.9,30.5,18.5,22.9,17.1,72.5,0.1,19.4,4.17,rain,0,0,29.2,24.5,149.2,1008.5,47.7,24.1,358.9,31.1,10,10,2023-12-19T05:15:59,2023-12-19T18:51:25,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
3,"-23.627,-46.655",2023-12-20,30.2,18.0,22.6,29.5,18.0,22.5,16.1,70.4,0.1,38.7,4.17,rain,0,0,28.4,24.1,141.1,1010.1,68.2,20.0,360.5,31.2,10,10,2023-12-20T05:16:26,2023-12-20T18:51:57,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"-23.627,-46.655",2023-12-21,32.9,19.0,23.4,32.5,19.0,23.4,17.7,73.1,0.8,93.5,29.17,rain,0,0,24.1,18.0,136.2,1010.5,43.1,21.1,250.1,21.9,10,10,2023-12-21T05:16:54,2023-12-21T18:52:27,0.31,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,
5,"-23.627,-46.655",2023-12-22,31.6,20.5,24.2,32.1,20.5,24.5,19.2,75.8,9.0,96.8,20.83,rain,0,0,19.8,13.0,185.1,1010.2,70.0,16.5,256.7,22.1,9,60,2023-12-22T05:17:24,2023-12-22T18:52:57,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
6,"-23.627,-46.655",2023-12-23,31.1,19.8,24.0,32.1,19.8,24.3,19.1,77.2,5.6,93.5,16.67,rain,0,0,19.4,16.6,139.9,1012.0,69.6,18.2,327.8,28.2,10,60,2023-12-23T05:17:54,2023-12-23T18:53:25,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
7,"-23.627,-46.655",2023-12-24,32.4,21.1,24.7,33.2,21.1,25.0,20.1,78.1,6.8,96.8,16.67,rain,0,0,22.0,11.9,104.2,1011.7,84.9,20.4,261.6,22.5,10,60,2023-12-24T05:18:26,2023-12-24T18:53:53,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
