,datetime,description,icon
0,2023-12-17,Partly cloudy throughout the day with storms possible.,rain
1,2023-12-18,Becoming cloudy in the afternoon with storms possible.,rain
2,2023-12-19,Clearing in the afternoon.,partly-cloudy-day
3,2023-12-20,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-12-21,Becoming cloudy in the afternoon with rain.,rain
5,2023-12-22,Partly cloudy throughout the day with storms possible.,rain
6,2023-12-23,Partly cloudy throughout the day with storms possible.,rain
7,2023-12-24,Partly cloudy throughout the day with storms possible.,rain
